from_Indicator,Relation,to_chemicals,CAS
Liquid substances or mixtures which are regarded as dangerous in accordance with Directive 1999/45/EC or are fulfilling the criteria for any of the following hazard classes or categories set out in Annex I to Regulation (EC) No 1272/2008 (See group members):,INCLUDE,Hazard class 4.1,-
Liquid substances or mixtures which are regarded as dangerous in accordance with Directive 1999/45/EC or are fulfilling the criteria for any of the following hazard classes or categories set out in Annex I to Regulation (EC) No 1272/2008 (See group members):,INCLUDE,"Hazard classes 3.1 to 3.6, 3.7 adverse effects on sexual function and fertility or on development, 3.8 effects other than narcotic effects, 3.9 and 3.10",-
Liquid substances or mixtures which are regarded as dangerous in accordance with Directive 1999/45/EC or are fulfilling the criteria for any of the following hazard classes or categories set out in Annex I to Regulation (EC) No 1272/2008 (See group members):,INCLUDE,"Hazard classes 2.1 to 2.4, 2.6 and 2.7, 2.8 types A and B, 2.9, 2.10, 2.12, 2.13 categories 1 and 2, 2.14 categories 1 and 2, 2.15 types A to F",-
Liquid substances or mixtures which are regarded as dangerous in accordance with Directive 1999/45/EC or are fulfilling the criteria for any of the following hazard classes or categories set out in Annex I to Regulation (EC) No 1272/2008 (See group members):,INCLUDE,Hazard class 5.1.,-
Asbestos fibres,INCLUDE,Amosite,12172-73-5
Asbestos fibres,INCLUDE,"Asbestos, chrysotile",12001-29-5
Asbestos fibres,INCLUDE,Anthophyllite,77536-67-5
Asbestos fibres,INCLUDE,Actinolite,77536-66-4
Asbestos fibres,INCLUDE,Tremolite,77536-68-6
Asbestos fibres,INCLUDE,Crocidolite,12001-28-4
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,3-bromobiphenyl,2113-57-7
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,"Decabromo-1,1'-biphenyl",13654-09-6
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,4-bromobiphenyl,92-66-0
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,"4,4'-dibromobiphenyl",92-86-4
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,"Hexabromo-1,1'-biphenyl",36355-01-8
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,Polybrominated biphenyls (PBB) except hexabromo-biphenyl,-
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,"Nonabromo-1,1'-biphenyl",27753-52-2
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",INCLUDE,Tetrabromo(tetrabromophenyl)benzene,27858-07-7
Volatile esters of bromoacetic acids,INCLUDE,Methyl bromoacetate,96-32-2
Volatile esters of bromoacetic acids,INCLUDE,Propyl bromoacetate,35223-80-4
Volatile esters of bromoacetic acids,INCLUDE,Butyl bromoacetate,18991-98-5
Volatile esters of bromoacetic acids,INCLUDE,Ethyl bromoacetate,105-36-2
2-naphthylamine and its salts,INCLUDE,2-naphthylammonium acetate,553-00-4
2-naphthylamine and its salts,INCLUDE,Salts of 2-naphthylamine,-
